;65 Hz;215 Hz;441 Hz;783 Hz;1230 Hz;2080 Hz
Target-Mix;2.92 [2.61 - 3.17];2.68 [2.39 - 2.94];2.68 [2.29 - 3.01];2.69 [2.32 - 3000];2.17 [1.77 - 2.56];2.97 [2.74 - 3.17]
Mix-Target;2.21 [1.82 - 2.61];1.24 [0.82 - 1.67];1.51 [1.11 - 1.89];1.31 [0.90 - 1.71];1.19 [0.81 - 1.62];2.04 [1.60 - 2.49]
