Order;Blocks;Band;Edge;Mid;Subject;Musicians;MSI_Perception;MSI_Training;dPrime;Hitrate;FA;Hit_Edge;Hit_NonEdge;Slope
2;1;3;0;0;16;true;13;46;0.89623;0.35;0.1;1;0.0714285714285714;1.27461
2;1;3;0;0;17;true;22;45;1.64485;0.95;0.5;1;0.875;0.32321
2;1;3;0;0;18;true;13;39;0.90972;0.65;0.3;1;0.5;0.65426
2;1;3;0;0;19;true;27;47;2.03017;0.65;0.05;1;0.5;0.93597
2;1;3;0;0;20;true;8;54;2.48436;0.7;0.05;0.833333333333333;0.642857142857143;0.42807
2;1;3;0;0;21;true;11;40;1.95604;0.75;0.1;0.833333333333333;0.714285714285714;0.19025
2;1;3;0;0;22;true;8;34;1.66687;0.85;0.35;1;0.785714285714286;1.03783
2;1;3;0;0;23;true;9;35;1.42175;0.85;0.05;1;0.785714285714286;0.69921
2;1;3;0;0;24;true;32;53;2.68129;0.6;0.15;0.875;0.416666666666667;0.87177
2;1;3;0;0;25;true;24;47;1.28978;0.45;0.15;0.714285714285714;0.307692307692308;1.08206
2;1;3;0;0;26;true;11;45;0.91077;0.55;0.35;0.833333333333333;0.428571428571429;0.70907
2;1;3;0;0;27;true;12;43;0.51098;0.75;0.05;1;0.545454545454545;0.56782
2;1;3;0;0;28;true;27;41;2.31934;0.65;0.3;1;0.5625;0.78313
2;1;3;0;0;29;true;7;33;0.90972;0.9;0.45;1;0.857142857142857;0.56762
2;1;3;0;0;30;true;8;37;1.40721;0.9;0.45;1;0.857142857142857;1.91521
2;1;4;1;1;1;true;31;55;2.68129;0.45;0.05;0.666666666666667;0.411764705882353;0.85889
2;1;4;1;1;2;true;13;52;1.95996;0.95;0.4;1;0.9375;-0.26803
2;1;4;1;1;3;true;7;51;2.92641;0.75;0.45;1;0.705882352941177;1.19444
2;1;4;1;1;4;true;25;41;2.48647;0.95;0.05;1;0.941176470588235;-0.14845
2;1;4;1;1;5;true;30;58;1.5349;0.3;0.05;0.666666666666667;0.235294117647059;0.86811
2;1;4;1;1;6;true;10;39;2.80159;0.55;0.6;1;0.470588235294118;0.82643
2;1;4;1;1;7;true;32;57;3.24152;0.75;0.05;1;0.705882352941177;0.56092
2;1;4;1;1;8;true;34;47;2.92641;0.85;0.1;1;0.823529411764706;0.59712
2;1;4;1;1;9;true;32;54;3.91993;0.55;0.05;0.666666666666667;0.529411764705882;0.79778
