Order;Band;Edge;Subject;dP;MSI_P;MSI_T;Musician;EdgeEffect
1;6;true;8;3.28971;27;13;false;-0.09083
1;6;true;9;3.28971;55;31;true;0.58327
1;6;true;10;3.28971;48;13;false;0.18165
1;6;true;11;3.28971;55;36;true;0
1;6;true;12;2.92641;53;38;true;0.85186
1;6;true;13;3.28971;54;36;true;1.39467
1;6;true;14;2.5631;49;23;false;0.42978
1;6;true;15;1.80595;59;38;true;0.20061
1;6;true;16;1.28155;28;13;false;0.79724
1;6;true;17;3.28971;55;33;true;0
1;6;true;18;3.28971;59;45;true;0.2877
1;6;true;19;3.28971;47;27;true;0.60972
1;6;true;20;3.28971;49;37;true;1.50623
1;6;true;21;2.48647;27;42;true;-0.06042
1;6;true;22;3.28971;53;33;true;0.16936
1;6;true;23;3.28971;45;40;true;0
1;6;true;24;3.28971;61;38;true;0.10605
1;6;true;25;2.92641;51;25;true;0.91325
2;1;true;1;0.38532;61;37;true;0.11711
2;1;true;2;0.63867;63;44;true;0.74998
2;1;true;3;3.91993;47;17;false;1.36746
2;1;true;4;1.80595;61;26;true;1.74228
2;1;true;5;0.60842;62;39;true;0.30083
2;1;true;6;3.24152;45;36;true;0.74937
2;1;true;7;2.68129;45;36;true;0.77419
2;1;true;8;1.28547;27;13;false;0.24776
2;1;true;9;3.28971;55;31;true;0.33376
2;1;true;10;2.63445;48;13;false;1.42182
2;1;true;11;3.60482;55;36;true;0
2;1;true;12;2.31798;53;38;true;0.96456
2;1;true;13;1.36602;54;36;true;0.14665
2;1;true;14;2.92641;49;23;false;0.9416
2;1;true;15;1.64485;59;38;true;0.29554
2;1;true;16;0.36194;28;13;false;0.23824
2;1;true;17;2.92641;55;33;true;0.68851
2;1;true;18;2.9964;59;45;true;1.46281
2;1;true;19;3.24152;47;27;true;2.38073
2;1;true;20;1.09497;49;37;true;1.03845
2;1;true;21;3.24152;27;42;true;1.614
2;1;true;22;3.24152;53;33;true;1.43454
2;1;true;23;1.40721;45;40;true;-0.50148
2;1;true;24;2.9964;61;38;true;0.95483
2;1;true;25;1.56083;51;25;true;0.97261
2;2;false;1;-0.27105;61;37;true;0.11711
2;2;false;2;0.25335;63;44;true;0.74998
2;2;false;3;2.9964;47;17;false;1.36746
2;2;false;4;0.28917;61;26;true;1.74228
2;2;false;5;0.31722;62;39;true;0.30083
2;2;false;6;1.22694;45;36;true;0.74937
2;2;false;7;1.66687;45;36;true;0.77419
2;2;false;8;1.11834;27;13;false;0.24776
2;2;false;9;3.24152;55;31;true;0.33376
2;2;false;10;0.80323;48;13;false;1.42182
2;2;false;11;3.91993;55;36;true;0
2;2;false;12;1.19889;53;38;true;0.96456
2;2;false;13;0.37939;54;36;true;0.14665
2;2;false;14;1.43108;49;23;false;0.9416
2;2;false;15;1.69039;59;38;true;0.29554
2;2;false;16;-0.08503;28;13;false;0.23824
2;2;false;17;1.95996;55;33;true;0.68851
2;2;false;18;1.31865;59;45;true;1.46281
2;2;false;19;0.9289;47;27;true;2.38073
2;2;false;20;-0.55639;49;37;true;1.03845
2;2;false;21;0.70191;27;42;true;1.614
2;2;false;22;0.65904;53;33;true;1.43454
2;2;false;23;2.02225;45;40;true;-0.50148
2;2;false;24;2.54942;61;38;true;0.95483
2;2;false;25;1.05188;51;25;true;0.97261
2;3;false;1;0;61;37;true;0.11711
2;3;false;2;-0.54883;63;44;true;0.74998
2;3;false;3;2.31798;47;17;false;1.36746
2;3;false;4;0.12769;61;26;true;1.74228
2;3;false;5;1.40721;62;39;true;0.30083
2;3;false;6;1.95604;45;36;true;0.74937
2;3;false;7;2.48436;45;36;true;0.77419
2;3;false;8;1.8343;27;13;false;0.24776
2;3;false;9;2.9964;55;31;true;0.33376
2;3;false;10;2.48647;48;13;false;1.42182
2;3;false;11;3.60482;55;36;true;0
2;3;false;12;0.42114;53;38;true;0.96456
2;3;false;13;1.5349;54;36;true;0.14665
2;3;false;14;1.5349;49;23;false;0.9416
2;3;false;15;1.77051;59;38;true;0.29554
2;3;false;16;0.42114;28;13;false;0.23824
2;3;false;17;2.03017;55;33;true;0.68851
2;3;false;18;1.51611;59;45;true;1.46281
2;3;false;19;0.25335;47;27;true;2.38073
2;3;false;20;0.65006;49;37;true;1.03845
2;3;false;21;1.36602;27;42;true;1.614
2;3;false;22;1.5349;53;33;true;1.43454
2;3;false;23;2.5631;45;40;true;-0.50148
2;3;false;24;2.31934;61;38;true;0.95483
2;3;false;25;1.09497;51;25;true;0.97261
2;4;false;1;-0.5244;61;37;true;0.11711
2;4;false;2;0.90972;63;44;true;0.74998
2;4;false;3;1.42175;47;17;false;1.36746
2;4;false;4;1.05981;61;26;true;1.74228
2;4;false;5;0.92353;62;39;true;0.30083
2;4;false;6;1.68324;45;36;true;0.74937
2;4;false;7;2.08563;45;36;true;0.77419
2;4;false;8;0.60706;27;13;false;0.24776
2;4;false;9;3.24152;55;31;true;0.33376
2;4;false;10;1.56083;48;13;false;1.42182
2;4;false;11;3.60482;55;36;true;0
2;4;false;12;0.37901;53;38;true;0.96456
2;4;false;13;1.22694;54;36;true;0.14665
2;4;false;14;1.34898;49;23;false;0.9416
2;4;false;15;0.77064;59;38;true;0.29554
2;4;false;16;-0.91077;28;13;false;0.23824
2;4;false;17;1.43556;55;33;true;0.68851
2;4;false;18;2.12317;59;45;true;1.46281
2;4;false;19;0.60706;47;27;true;2.38073
2;4;false;20;0;49;37;true;1.03845
2;4;false;21;1.5349;27;42;true;1.614
2;4;false;22;2.21331;53;33;true;1.43454
2;4;false;23;2.5631;45;40;true;-0.50148
2;4;false;24;1.8343;61;38;true;0.95483
2;4;false;25;1.0282;51;25;true;0.97261
2;5;false;1;0;61;37;true;0.11711
2;5;false;2;0.50669;63;44;true;0.74998
2;5;false;3;2.21331;47;17;false;1.36746
2;5;false;4;0.13908;61;26;true;1.74228
2;5;false;5;1.28547;62;39;true;0.30083
2;5;false;6;1.19889;45;36;true;0.74937
2;5;false;7;1.39151;45;36;true;0.77419
2;5;false;8;0.80323;27;13;false;0.24776
2;5;false;9;3.60482;55;31;true;0.33376
2;5;false;10;0;48;13;false;1.42182
2;5;false;11;3.91993;55;36;true;0
2;5;false;12;0.12769;53;38;true;0.96456
2;5;false;13;1.12384;54;36;true;0.14665
2;5;false;14;1.10522;49;23;false;0.9416
2;5;false;15;0.60805;59;38;true;0.29554
2;5;false;16;0.04541;28;13;false;0.23824
2;5;false;17;2.09967;55;33;true;0.68851
2;5;false;18;1.03643;59;45;true;1.46281
2;5;false;19;0.14377;47;27;true;2.38073
2;5;false;20;0.67449;49;37;true;1.03845
2;5;false;21;0.85082;27;42;true;1.614
2;5;false;22;1.0282;53;33;true;1.43454
2;5;false;23;3.52469;45;40;true;-0.50148
2;5;false;24;0.73932;61;38;true;0.95483
2;5;false;25;1.65936;51;25;true;0.97261
2;6;true;1;-0.54883;61;37;true;0.11711
2;6;true;2;1.42175;63;44;true;0.74998
2;6;true;3;3.28971;47;17;false;1.36746
2;6;true;4;2.48647;61;26;true;1.74228
2;6;true;5;1.95996;62;39;true;0.30083
2;6;true;6;1.28978;45;36;true;0.74937
2;6;true;7;2.68129;45;36;true;0.77419
2;6;true;8;1.39151;27;13;false;0.24776
2;6;true;9;3.91993;55;31;true;0.33376
2;6;true;10;2.63445;48;13;false;1.42182
2;6;true;11;3.91993;55;36;true;0
2;6;true;12;0.67449;53;38;true;0.96456
2;6;true;13;1.05981;54;36;true;0.14665
2;6;true;14;1.66687;49;23;false;0.9416
2;6;true;15;1.36602;59;38;true;0.29554
2;6;true;16;-0.15009;28;13;false;0.23824
2;6;true;17;2.21331;55;33;true;0.68851
2;6;true;18;2.92641;59;45;true;1.46281
2;6;true;19;2.48647;47;27;true;2.38073
2;6;true;20;1.36602;49;37;true;1.03845
2;6;true;21;2.21331;27;42;true;1.614
2;6;true;22;2.34528;53;33;true;1.43454
2;6;true;23;2.92641;45;40;true;-0.50148
2;6;true;24;2.63445;61;38;true;0.95483
2;6;true;25;2.80159;51;25;true;0.97261
